instrument_name,tick_size,taker_commission,settlement_period,settlement_currency,rfq,quote_currency,price_index,min_trade_amount,max_liquidation_commission,max_leverage,maker_commission,kind,is_active,instrument_type,instrument_id,future_type,expiration_timestamp,creation_timestamp,counter_currency,contract_size,block_trade_tick_size,block_trade_min_trade_amount,block_trade_commission,base_currency,strike,option_type
BTC-31MAR23-80000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,145387,,1680249600000,1672785252000,USD,1.0,0.0001,25.0,0.00015,BTC,80000.0,put
BTC-31MAR23-100000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126293,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,100000.0,call
BTC-31MAR23-100000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126294,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,100000.0,put
BTC-31MAR23-150000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126295,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,150000.0,call
BTC-31MAR23-150000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126296,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,150000.0,put
BTC-31MAR23-200000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126297,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,200000.0,call
BTC-31MAR23-200000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126298,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,200000.0,put
BTC-FS-30JUN23_31MAR23,0.5,0.0,month,BTC,False,USD,btc_usd,10.0,,,0.0,future_combo,True,reversed,130974,,1680249600000,1656404037000,USD,10.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_15000_20000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145576,,1680249600000,1672921823000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_25000_26000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145679,,1680249600000,1672921931000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_25000_28000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145680,,1680249600000,1672921932000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_25000_30000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145681,,1680249600000,1672921933000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_25000_35000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145682,,1680249600000,1672921934000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_25000_40000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145683,,1680249600000,1672921935000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_25000_45000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145684,,1680249600000,1672921936000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_25000_50000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145685,,1680249600000,1672921937000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_25000_55000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145686,,1680249600000,1672921938000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_25000_60000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145687,,1680249600000,1672921939000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_25000_100000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145690,,1680249600000,1672921942000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_25000_150000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145691,,1680249600000,1672921943000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_25000_200000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145692,,1680249600000,1672921945000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_26000_28000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145693,,1680249600000,1672921946000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_26000_30000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145694,,1680249600000,1672921947000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_26000_35000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145695,,1680249600000,1672921948000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_26000_40000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145696,,1680249600000,1672921949000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_26000_45000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145697,,1680249600000,1672921950000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_26000_50000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145698,,1680249600000,1672921951000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_26000_55000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145699,,1680249600000,1672921952000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_26000_60000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145700,,1680249600000,1672921953000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_26000_70000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145701,,1680249600000,1672921954000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_26000_80000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145702,,1680249600000,1672921955000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_26000_100000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145703,,1680249600000,1672921956000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_26000_150000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145704,,1680249600000,1672921957000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_26000_200000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145705,,1680249600000,1672921958000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_28000_30000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145706,,1680249600000,1672921959000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_28000_35000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145707,,1680249600000,1672921960000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_28000_40000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145708,,1680249600000,1672921961000,USD,1.0,,,,BTC,,
BTC-ICOND-31MAR23-10000_14000_28000_45000,0.0001,0.0,month,BTC,False,BTC,btc_usd,0.1,,,0.0,option_combo,True,reversed,145709,,1680249600000,1672921963000,USD,1.0,,,,BTC,,
